Elapsed Time (min),Date,Voltage (V),R_therm (Ohms),Temp_SH (K),Temp_SH (F),Temp_SH (C),Temp_Beta (K),Temp_Beta (F),Temp_Beta (C)
0.37,09-18-2025 12:53:16,0.8621,2083.497,338.1,148.97,64.98,338.19,149.07,65.04
0.39,09-18-2025 12:53:17,4.5559,102580.9175,252.2,-5.73,-20.96,253.59,-3.21,-19.56
0.4,09-18-2025 12:53:18,1.7237,5261.0595,313.5,104.54,40.3,313.34,104.34,40.19
0.42,09-18-2025 12:53:19,4.8452,312971.3363,234.2,-38.06,-38.92,236.64,-33.71,-36.51
0.44,09-18-2025 12:53:20,1.2643,3384.4172,324.8,124.95,51.64,324.7,124.8,51.55
0.46,09-18-2025 12:53:21,4.1048,45850.3211,266.6,20.27,-6.52,267.41,21.67,-5.74
0.48,09-18-2025 12:53:22,0.0624,126.4541,440.1,332.51,166.95,444.92,341.19,171.77
0.49,09-18-2025 12:53:23,2.8909,13706.5134,291.1,64.33,17.96,291.22,64.53,18.07
0.51,09-18-2025 12:53:24,5.1756,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
0.53,09-18-2025 12:53:25,1.1771,3079.1616,327.3,129.49,54.16,327.25,129.37,54.1
0.55,09-18-2025 12:53:26,5.6597,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
0.56,09-18-2025 12:53:27,3.6023,25771.7761,277.9,40.46,4.7,278.27,41.21,5.12
0.58,09-18-2025 12:53:28,0.8209,1964.227,339.8,152.01,66.67,339.91,152.16,66.76
0.6,09-18-2025 12:53:29,0.186,386.3731,393.3,248.35,120.19,395.2,251.7,122.05
0.62,09-18-2025 12:53:31,2.3201,8657.5866,301.5,82.97,28.32,301.43,82.9,28.28
0.63,09-18-2025 12:53:32,2.4197,9377.4979,299.6,79.65,26.47,299.6,79.62,26.45
0.65,09-18-2025 12:53:33,0.6332,1449.9993,348.8,168.11,75.62,349.02,168.57,75.87
0.67,09-18-2025 12:53:34,0.9581,2370.4964,334.5,142.41,61.34,334.49,142.42,61.34
0.68,09-18-2025 12:53:35,0.0722,146.4899,433.4,320.36,160.2,437.67,328.14,164.52
0.71,09-18-2025 12:53:36,4.5234,94918.0328,253.5,-3.32,-19.62,254.86,-0.92,-18.29
0.72,09-18-2025 12:53:37,1.9224,6246.6237,309.2,96.94,36.08,309.13,96.76,35.98
0.74,09-18-2025 12:53:38,5.3653,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
0.76,09-18-2025 12:53:39,1.2289,3258.643,325.8,126.76,52.65,325.72,126.62,52.57
0.77,09-18-2025 12:53:40,2.2228,8003.8258,303.3,86.27,30.15,303.25,86.17,30.1
0.8,09-18-2025 12:53:41,2.5209,10168.9147,297.8,76.31,24.62,297.77,76.32,24.62
0.81,09-18-2025 12:53:42,3.6187,26199.095,277.5,39.87,4.37,277.94,40.63,4.79
0.83,09-18-2025 12:53:43,4.5767,108116.049,251.3,-7.34,-21.86,252.74,-4.75,-20.41
0.85,09-18-2025 12:53:44,4.1286,47376.4613,266.0,19.17,-7.13,266.82,20.61,-6.33
0.86,09-18-2025 12:53:45,2.4366,9505.0591,299.3,79.09,26.16,299.3,79.06,26.15
0.89,09-18-2025 12:53:47,2.3278,8711.2618,301.3,82.71,28.17,301.29,82.65,28.14
0.9,09-18-2025 12:53:48,2.4594,9680.681,298.9,78.33,25.74,298.88,78.32,25.73
0.92,09-18-2025 12:53:49,0.5072,1128.8864,356.5,181.98,83.32,356.92,182.78,83.77
0.94,09-18-2025 12:53:50,0.312,665.529,373.8,213.18,100.66,374.81,214.99,101.66
0.95,09-18-2025 12:53:51,5.1428,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
0.97,09-18-2025 12:53:52,1.4846,4223.2337,319.0,114.54,45.86,318.9,114.35,45.75
0.99,09-18-2025 12:53:53,2.4465,9580.9673,299.1,78.76,25.98,299.12,78.74,25.97
1.01,09-18-2025 12:53:54,2.625,11052.6316,295.9,72.92,22.73,295.91,72.98,22.76
1.02,09-18-2025 12:53:55,6.1401,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
1.04,09-18-2025 12:53:56,1.3884,3844.4233,321.4,118.92,48.29,321.34,118.74,48.19
1.06,09-18-2025 12:53:57,0.9909,2471.7437,333.3,140.31,60.17,333.31,140.29,60.16
1.08,09-18-2025 12:53:58,0.8244,1974.4346,339.7,151.74,66.52,339.75,151.89,66.6
1.1,09-18-2025 12:53:59,4.6883,150384.9238,245.8,-17.26,-27.37,247.51,-14.15,-25.64
1.11,09-18-2025 12:54:00,5.4124,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
1.13,09-18-2025 12:54:01,0.3806,823.9751,366.6,200.24,93.47,367.37,201.59,94.22
1.15,09-18-2025 12:54:03,1.0843,2769.1497,330.2,134.67,57.04,330.15,134.6,57.0
1.17,09-18-2025 12:54:04,3.2843,19141.7747,284.0,51.47,10.81,284.22,51.93,11.07
1.18,09-18-2025 12:54:05,5.8789,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
1.2,09-18-2025 12:54:06,1.6879,5096.0486,314.2,105.97,41.1,314.13,105.77,40.98
1.22,09-18-2025 12:54:07,3.7093,28739.0441,275.7,36.53,2.52,276.15,37.39,3.0
1.24,09-18-2025 12:54:08,1.2774,3431.6079,324.4,124.29,51.27,324.33,124.13,51.18
1.26,09-18-2025 12:54:09,1.7574,5419.9032,312.7,103.21,39.56,312.6,103.01,39.45
1.27,09-18-2025 12:54:10,4.3018,61614.0005,261.2,10.45,-11.97,262.17,12.23,-10.98
1.29,09-18-2025 12:54:11,2.9466,14349.4141,290.1,62.53,16.96,290.24,62.76,17.09
1.31,09-18-2025 12:54:12,0.5062,1126.5647,356.5,182.1,83.39,356.98,182.9,83.83
1.33,09-18-2025 12:54:13,2.1547,7573.1482,304.6,88.62,31.46,304.54,88.5,31.39
1.34,09-18-2025 12:54:14,1.1514,2991.8638,328.1,130.89,54.94,328.03,130.78,54.88
1.36,09-18-2025 12:54:15,5.6318,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
1.38,09-18-2025 12:54:16,0.9084,2220.2704,336.3,145.72,63.18,336.36,145.78,63.21
1.39,09-18-2025 12:54:17,4.3669,68973.3465,259.1,6.78,-14.01,260.22,8.72,-12.93
1.42,09-18-2025 12:54:18,0.3244,693.7575,372.4,210.63,99.24,373.34,212.34,100.19
1.43,09-18-2025 12:54:19,0.4041,879.1732,364.5,196.4,91.34,365.17,197.63,92.02
1.45,09-18-2025 12:54:20,0.7999,1904.4076,340.7,153.62,67.57,340.81,153.79,67.66
1.47,09-18-2025 12:54:21,0.1382,284.2304,405.2,269.75,132.08,407.73,274.24,134.58
1.48,09-18-2025 12:54:22,4.0922,45077.4527,267.0,20.85,-6.2,267.72,22.23,-5.43
1.51,09-18-2025 12:54:24,4.0091,40460.4516,269.0,24.54,-4.15,269.7,25.78,-3.45
1.52,09-18-2025 12:54:25,5.7705,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
1.54,09-18-2025 12:54:26,1.1931,3133.9167,326.8,128.64,53.69,326.77,128.51,53.62
1.56,09-18-2025 12:54:27,4.7085,161526.5866,244.6,-19.37,-28.54,246.41,-16.14,-26.74
1.57,09-18-2025 12:54:28,2.9979,14974.2453,289.2,60.87,16.04,289.33,61.13,16.18
1.59,09-18-2025 12:54:29,2.0989,7234.6934,305.7,90.58,32.54,305.62,90.44,32.47
1.61,09-18-2025 12:54:30,0.5736,1295.7655,352.2,174.28,79.04,352.52,174.87,79.37
1.63,09-18-2025 12:54:31,4.3836,71111.2238,258.6,5.8,-14.55,259.7,7.78,-13.45
1.64,09-18-2025 12:54:32,3.7556,30180.8137,274.7,34.79,1.55,275.2,35.7,2.05
1.66,09-18-2025 12:54:33,2.1028,7258.1167,305.6,90.44,32.47,305.54,90.3,32.39
1.68,09-18-2025 12:54:34,4.8652,361057.5139,232.1,-41.93,-41.07,234.63,-37.33,-38.52
1.7,09-18-2025 12:54:35,4.1152,46513.1393,266.4,19.79,-6.78,267.15,21.21,-6.0
1.72,09-18-2025 12:54:36,3.7309,29397.2225,275.2,35.72,2.07,275.71,36.61,2.56
1.73,09-18-2025 12:54:37,2.0494,6945.5624,306.7,92.33,33.52,306.58,92.18,33.43
1.75,09-18-2025 12:54:38,1.8947,6101.4391,309.8,97.97,36.65,309.7,97.79,36.55
1.77,09-18-2025 12:54:40,3.0054,15068.154,289.1,60.63,15.9,289.2,60.89,16.05
1.79,09-18-2025 12:54:41,5.9314,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
1.8,09-18-2025 12:54:42,5.4971,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
1.82,09-18-2025 12:54:43,2.3278,8711.2618,301.3,82.71,28.17,301.29,82.65,28.14
1.84,09-18-2025 12:54:44,5.6381,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
1.86,09-18-2025 12:54:45,2.9278,14129.0906,290.4,63.14,17.3,290.57,63.35,17.42
1.87,09-18-2025 12:54:46,0.5374,1204.168,354.5,178.35,81.31,354.85,179.05,81.7
1.89,09-18-2025 12:54:47,2.7272,11999.175,294.0,69.61,20.9,294.1,69.72,20.95
1.91,09-18-2025 12:54:48,2.4739,9793.1615,298.6,77.86,25.48,298.62,77.85,25.47
1.93,09-18-2025 12:54:49,0.8722,2113.1367,337.7,148.25,64.58,337.78,148.34,64.63
1.95,09-18-2025 12:54:50,0.5758,1301.5102,352.1,174.03,78.91,352.39,174.62,79.24
1.96,09-18-2025 12:54:51,3.3043,19486.5652,283.6,50.79,10.44,283.86,51.27,10.71
1.98,09-18-2025 12:54:52,2.7607,12328.9048,293.4,68.53,20.29,293.51,68.65,20.36
2.0,09-18-2025 12:54:53,3.5181,23739.6145,279.5,43.46,6.37,279.89,44.12,6.74
2.01,09-18-2025 12:54:54,4.5801,109065.3371,251.1,-7.61,-22.01,252.59,-5.0,-20.56
2.04,09-18-2025 12:54:56,4.599,114688.2793,250.3,-9.14,-22.86,251.78,-6.46,-21.37
2.05,09-18-2025 12:54:57,3.8003,31675.349,273.7,33.07,0.59,274.28,34.03,1.13
2.07,09-18-2025 12:54:58,4.8863,429560.4396,229.5,-46.56,-43.64,232.24,-41.64,-40.91
2.09,09-18-2025 12:54:59,5.4909,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.1,09-18-2025 12:55:00,3.0743,15963.9102,287.8,58.39,14.66,287.98,58.7,14.83
2.12,09-18-2025 12:55:01,1.7938,5594.8459,311.9,101.8,38.78,311.82,101.6,38.67
2.14,09-18-2025 12:55:02,0.6981,1622.67,345.4,162.06,72.25,345.59,162.39,72.44
2.16,09-18-2025 12:55:03,6.0086,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.17,09-18-2025 12:55:04,2.7632,12353.237,293.4,68.45,20.25,293.47,68.57,20.32
2.19,09-18-2025 12:55:05,0.5636,1270.4629,352.8,175.37,79.65,353.15,175.99,80.0
2.21,09-18-2025 12:55:06,4.2006,52543.9762,264.1,15.7,-9.06,264.97,17.27,-8.18
2.23,09-18-2025 12:55:07,4.4833,86770.2915,255.1,-0.52,-18.07,256.34,1.75,-16.81
2.25,09-18-2025 12:55:08,0.27,570.8245,379.1,222.77,105.99,380.35,224.96,107.2
2.26,09-18-2025 12:55:09,5.472,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.28,09-18-2025 12:55:10,0.6351,1454.9177,348.7,167.93,75.52,348.92,168.38,75.77
2.3,09-18-2025 12:55:11,0.129,264.8327,408.1,274.85,134.92,410.73,279.64,137.58
2.32,09-18-2025 12:55:12,1.065,2706.4803,330.8,135.8,57.67,330.78,135.74,57.63
2.33,09-18-2025 12:55:13,1.344,3676.1488,322.6,121.02,49.46,322.51,120.85,49.36
2.35,09-18-2025 12:55:14,5.0469,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.37,09-18-2025 12:55:15,5.2965,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.39,09-18-2025 12:55:17,3.0182,15229.4301,288.8,60.21,15.67,288.97,60.48,15.82
2.41,09-18-2025 12:55:18,2.355,8903.5917,300.8,81.8,27.67,300.79,81.75,27.64
2.42,09-18-2025 12:55:19,4.6418,129567.3412,248.2,-12.83,-24.91,249.84,-9.95,-23.31
2.44,09-18-2025 12:55:20,2.1244,7387.5245,305.2,89.68,32.05,305.12,89.55,31.97
2.46,09-18-2025 12:55:21,1.3539,3713.4237,322.3,120.55,49.19,322.25,120.37,49.1
2.48,09-18-2025 12:55:22,5.3893,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.49,09-18-2025 12:55:23,3.6343,26611.5967,277.2,39.3,4.06,277.64,40.08,4.49
2.51,09-18-2025 12:55:24,1.4019,3896.3678,321.1,118.29,47.94,320.99,118.11,47.84
2.53,09-18-2025 12:55:25,2.0771,7106.4449,306.1,91.34,32.97,306.04,91.2,32.89
2.54,09-18-2025 12:55:26,3.8974,35346.3326,271.6,29.22,-1.55,272.21,30.3,-0.94
2.57,09-18-2025 12:55:27,2.4499,9606.882,299.1,78.65,25.92,299.06,78.63,25.91
2.58,09-18-2025 12:55:28,4.8176,264160.3838,236.8,-33.4,-36.33,239.07,-29.34,-34.08
2.6,09-18-2025 12:55:29,0.8559,2065.4551,338.4,149.42,65.23,338.44,149.53,65.29
2.62,09-18-2025 12:55:30,1.0221,2569.3277,332.2,138.38,59.1,332.23,138.34,59.08
2.63,09-18-2025 12:55:31,0.8702,2107.0872,337.8,148.39,64.66,337.86,148.49,64.71
2.65,09-18-2025 12:55:33,5.3216,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.67,09-18-2025 12:55:34,0.8739,2118.0908,337.7,148.13,64.51,337.71,148.21,64.56
2.69,09-18-2025 12:55:35,0.7166,1673.0382,344.5,160.43,71.35,344.66,160.73,71.51
2.7,09-18-2025 12:55:36,2.445,9569.4716,299.2,78.81,26.01,299.14,78.79,25.99
2.72,09-18-2025 12:55:37,5.8689,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.74,09-18-2025 12:55:38,5.553,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.76,09-18-2025 12:55:39,6.1185,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.78,09-18-2025 12:55:40,4.1481,48689.7513,265.5,18.25,-7.64,266.33,19.72,-6.82
2.79,09-18-2025 12:55:41,4.3779,70377.7755,258.8,6.13,-14.37,259.87,8.1,-13.28
2.81,09-18-2025 12:55:42,1.7243,5263.6801,313.4,104.52,40.29,313.33,104.32,40.18
2.83,09-18-2025 12:55:43,2.2232,8006.2572,303.3,86.26,30.15,303.24,86.16,30.09
2.85,09-18-2025 12:55:44,2.0653,7037.5892,306.4,91.76,33.2,306.27,91.62,33.12
2.87,09-18-2025 12:55:45,2.8984,13791.114,291.0,64.09,17.83,291.09,64.29,17.94
2.88,09-18-2025 12:55:46,0.0054,10.8868,592.0,605.84,318.8,614.73,646.85,341.58
2.9,09-18-2025 12:55:47,1.4713,4169.5744,319.3,115.14,46.19,319.23,114.94,46.08
2.92,09-18-2025 12:55:49,3.6396,26752.8828,277.1,39.11,3.95,277.54,39.89,4.39
2.94,09-18-2025 12:55:50,5.7609,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.95,09-18-2025 12:55:51,5.8714,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
2.97,09-18-2025 12:55:52,2.922,14061.5977,290.6,63.33,17.4,290.67,63.54,17.52
2.99,09-18-2025 12:55:53,4.7107,162860.847,244.5,-19.61,-28.67,246.28,-16.37,-26.87
3.01,09-18-2025 12:55:54,2.8204,12939.7259,292.4,66.6,19.22,292.46,66.76,19.31
3.02,09-18-2025 12:55:55,5.9809,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
3.04,09-18-2025 12:55:56,1.0971,2810.8636,329.8,133.94,56.63,329.74,133.86,56.59
3.06,09-18-2025 12:55:57,2.0636,7027.7979,306.4,91.82,33.23,306.3,91.68,33.15
3.07,09-18-2025 12:55:58,5.133,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
3.1,09-18-2025 12:55:59,5.2598,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
3.11,09-18-2025 12:56:00,0.8175,1954.5726,340.0,152.27,66.81,340.05,152.42,66.9
3.13,09-18-2025 12:56:01,4.5834,110030.0075,251.0,-7.88,-22.15,252.45,-5.26,-20.7
3.15,09-18-2025 12:56:02,3.6122,26027.9216,277.7,40.11,4.5,278.07,40.86,4.92
3.16,09-18-2025 12:56:03,0.1896,394.065,392.6,247.01,119.45,394.43,250.3,121.28
3.18,09-18-2025 12:56:05,1.6732,5029.6836,314.6,106.56,41.42,314.46,106.36,41.31
3.2,09-18-2025 12:56:06,3.2409,18424.2317,284.8,52.91,11.62,285.0,53.34,11.85
3.22,09-18-2025 12:56:07,0.2319,486.4397,384.8,233.05,111.69,386.3,235.68,113.15
3.23,09-18-2025 12:56:08,1.7526,5396.7551,312.8,103.4,39.67,312.71,103.21,39.56
3.25,09-18-2025 12:56:09,5.9012,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
3.27,09-18-2025 12:56:10,3.3231,19816.2573,283.2,50.16,10.09,283.51,50.66,10.36
3.29,09-18-2025 12:56:11,3.6163,26135.3268,277.6,39.96,4.42,277.99,40.71,4.84
3.31,09-18-2025 12:56:12,4.5718,106771.2743,251.5,-6.96,-21.64,252.94,-4.38,-20.21
3.32,09-18-2025 12:56:13,5.3994,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
3.34,09-18-2025 12:56:14,2.8674,13445.9717,291.5,65.09,18.38,291.63,65.27,18.48
3.36,09-18-2025 12:56:15,3.0208,15262.892,288.8,60.13,15.63,288.93,60.4,15.78
3.38,09-18-2025 12:56:16,1.9146,6205.1573,309.4,97.23,36.24,309.29,97.05,36.14
3.39,09-18-2025 12:56:17,3.7798,30977.3088,274.2,33.86,1.03,274.71,34.8,1.56
3.41,09-18-2025 12:56:18,3.6864,28064.424,276.1,37.39,2.99,276.61,38.22,3.46
3.43,09-18-2025 12:56:19,4.5821,109653.0063,251.1,-7.77,-22.1,252.51,-5.16,-20.64
3.45,09-18-2025 12:56:20,2.5781,10645.1613,296.7,74.44,23.58,296.75,74.48,23.6
3.47,09-18-2025 12:56:21,6.0559,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
3.48,09-18-2025 12:56:22,1.5309,4413.1159,317.9,112.52,44.73,317.77,112.32,44.62
3.5,09-18-2025 12:56:23,0.5552,1249.0684,353.3,176.31,80.17,353.68,176.96,80.53
3.52,09-18-2025 12:56:24,2.0559,6983.3351,306.5,92.1,33.39,306.46,91.95,33.31
3.54,09-18-2025 12:56:26,3.6019,25762.1815,277.9,40.48,4.71,278.27,41.22,5.12
3.56,09-18-2025 12:56:27,1.2369,3287.0501,325.6,126.35,52.41,325.48,126.2,52.33
3.57,09-18-2025 12:56:28,4.3596,68071.6307,259.4,7.21,-13.77,260.45,9.13,-12.7
3.59,09-18-2025 12:56:29,1.2973,3503.7051,323.9,123.3,50.72,323.78,123.14,50.63
3.61,09-18-2025 12:56:30,1.2608,3371.6654,324.9,125.13,51.74,324.8,124.98,51.65
3.63,09-18-2025 12:56:31,1.7068,5182.8586,313.8,105.21,40.67,313.71,105.01,40.56
3.64,09-18-2025 12:56:32,2.6424,11208.3455,295.6,72.35,22.42,295.6,72.42,22.45
3.66,09-18-2025 12:56:33,1.734,5309.2468,313.2,104.13,40.07,313.11,103.93,39.96
3.68,09-18-2025 12:56:34,0.9962,2488.0973,333.1,139.98,59.99,333.13,139.96,59.98
3.69,09-18-2025 12:56:35,0.9217,2260.1606,335.8,144.82,62.68,335.85,144.86,62.7
3.72,09-18-2025 12:56:36,1.5495,4490.6535,317.4,111.72,44.29,317.33,111.52,44.18
3.73,09-18-2025 12:56:37,5.4883,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
3.75,09-18-2025 12:56:38,4.2469,56390.0415,262.8,13.36,-10.36,263.72,15.02,-9.43
3.77,09-18-2025 12:56:39,1.6153,4772.4125,315.9,108.94,42.74,315.78,108.74,42.63
3.78,09-18-2025 12:56:40,4.3335,65018.7547,260.2,8.69,-12.95,261.24,10.55,-11.91
3.81,09-18-2025 12:56:42,0.9212,2258.4698,335.8,144.86,62.7,335.87,144.9,62.72
3.82,09-18-2025 12:56:43,1.3354,3643.9608,322.8,121.44,49.69,322.74,121.27,49.59
3.84,09-18-2025 12:56:44,4.6554,135111.5545,247.5,-14.08,-25.6,249.18,-11.14,-23.97
3.86,09-18-2025 12:56:45,1.5516,4499.3203,317.4,111.63,44.24,317.28,111.43,44.13
3.87,09-18-2025 12:56:46,2.2477,8166.9543,302.8,85.42,29.68,302.78,85.33,29.63
3.89,09-18-2025 12:56:47,5.1638,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
3.91,09-18-2025 12:56:48,3.1219,16622.2962,286.9,56.83,13.8,287.14,57.18,13.99
3.93,09-18-2025 12:56:49,3.9354,36967.651,270.7,27.65,-2.41,271.37,28.79,-1.78
3.94,09-18-2025 12:56:50,4.1258,47191.8788,266.1,19.3,-7.06,266.89,20.74,-6.26
3.96,09-18-2025 12:56:51,3.6774,27805.3967,276.3,37.72,3.18,276.78,38.54,3.63
3.98,09-18-2025 12:56:52,2.058,6995.2413,306.5,92.02,33.35,306.42,91.88,33.27
4.0,09-18-2025 12:56:53,0.2081,434.3289,389.0,240.5,115.83,390.63,243.47,117.48
4.02,09-18-2025 12:56:54,4.1756,50652.0091,264.8,16.92,-8.38,265.62,18.45,-7.53
4.03,09-18-2025 12:56:55,1.6061,4732.4224,316.1,109.32,42.96,315.99,109.12,42.84
4.05,09-18-2025 12:56:56,0.4333,948.8552,362.0,191.94,88.86,362.61,193.03,89.46
4.07,09-18-2025 12:56:58,2.6732,11488.6245,295.0,71.36,21.87,295.06,71.44,21.91
4.09,09-18-2025 12:56:59,0.2469,519.5335,382.5,228.78,109.32,383.83,231.23,110.68
4.1,09-18-2025 12:57:00,2.6274,11074.2604,295.8,72.84,22.69,295.87,72.9,22.72
4.12,09-18-2025 12:57:01,1.8533,5889.4097,310.7,99.52,37.51,310.56,99.34,37.41
4.14,09-18-2025 12:57:02,2.5911,10756.0387,296.5,74.02,23.35,296.52,74.06,23.37
4.16,09-18-2025 12:57:03,1.6851,5083.2406,314.3,106.09,41.16,314.2,105.88,41.05
4.18,09-18-2025 12:57:04,5.6917,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
4.19,09-18-2025 12:57:05,1.6125,4760.1476,316.0,109.06,42.81,315.85,108.85,42.7
4.21,09-18-2025 12:57:06,4.1072,46002.8001,266.6,20.16,-6.58,267.35,21.57,-5.8
4.23,09-18-2025 12:57:07,2.1508,7548.8626,304.7,88.76,31.53,304.62,88.64,31.47
4.25,09-18-2025 12:57:08,6.1029,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
4.26,09-18-2025 12:57:09,3.0761,15989.2145,287.8,58.33,14.63,287.95,58.64,14.8
4.28,09-18-2025 12:57:10,0.5934,1346.713,351.0,172.15,77.86,351.32,172.7,78.17
4.3,09-18-2025 12:57:11,0.0413,83.1863,460.4,369.13,187.3,466.95,380.84,193.8
4.31,09-18-2025 12:57:12,3.5122,23607.797,279.6,43.67,6.48,280.0,44.32,6.85
4.34,09-18-2025 12:57:14,1.2514,3338.224,325.2,125.61,52.0,325.07,125.46,51.92
4.35,09-18-2025 12:57:15,3.9793,38986.5899,269.7,25.81,-3.44,270.38,27.02,-2.77
4.37,09-18-2025 12:57:16,1.7614,5438.6507,312.6,103.06,39.48,312.52,102.86,39.37
4.39,09-18-2025 12:57:17,3.3651,20582.2088,282.5,48.74,9.3,282.74,49.27,9.59
4.4,09-18-2025 12:57:18,5.3064,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
4.42,09-18-2025 12:57:19,4.9553,1107318.4358,216.3,-70.39,-56.88,219.99,-63.69,-53.16
4.44,09-18-2025 12:57:20,4.632,125869.5652,248.7,-11.96,-24.42,250.3,-9.13,-22.85
4.46,09-18-2025 12:57:21,0.147,302.9054,402.7,265.21,129.56,405.07,269.45,131.92
4.47,09-18-2025 12:57:22,3.3465,20238.8872,282.8,49.37,9.65,283.09,49.88,9.94
4.49,09-18-2025 12:57:23,1.3731,3785.7352,321.8,119.64,48.69,321.74,119.46,48.59
4.51,09-18-2025 12:57:24,3.0771,16001.8851,287.8,58.3,14.61,287.93,58.61,14.78
4.53,09-18-2025 12:57:25,5.4013,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
4.55,09-18-2025 12:57:26,3.8387,33054.7333,272.9,31.57,-0.24,273.47,32.58,0.32
4.56,09-18-2025 12:57:27,6.0574,inf,0.0,-459.67,-273.15,0.0,-459.67,-273.15
4.58,09-18-2025 12:57:28,3.7603,30332.7451,274.6,34.61,1.45,275.11,35.52,1.96
4.6,09-18-2025 12:57:30,3.7717,30708.3249,274.4,34.17,1.21,274.87,35.1,1.72
4.62,09-18-2025 12:57:31,1.8246,5745.8618,311.3,100.61,38.12,311.16,100.43,38.01
4.64,09-18-2025 12:57:32,1.1181,2880.1662,329.1,132.75,55.97,329.07,132.65,55.92
